event_id,source_series_version,selected_source,source_hash,treatment_state
PLDINPL00011-2025-07-31-split-1-to-10-v1,bossa_mstall:PLDINPL00011:c25a4c0a49ddb59d5cc9fd58ba46b496e6eb226cfde2deb6f09f3f39ffd235a2,bossa_mstall,c25a4c0a49ddb59d5cc9fd58ba46b496e6eb226cfde2deb6f09f3f39ffd235a2,source_unadjusted_for_event
PLDINPL00011-2025-07-31-split-1-to-10-v1,bossa_session_page:PLDINPL00011:91d8a07f96b25cd6940916e6ea73551a10e0ef6582ab6b16be3c458812632370,bossa_session_page,91d8a07f96b25cd6940916e6ea73551a10e0ef6582ab6b16be3c458812632370,source_already_adjusted_for_event
